Table,Field,DataType,Required,Description,Validation,Shared_key,,ClinPath field,team_Hafler type,ClinPath description,
STUDY,project_name,String,Required,Project Name:   A Title of the overall project. A unique and clear title of the Team's project.,,0,,,,,bard
STUDY,project_dataset,String,Required,"Dataset Name:   A unique name is required for each data submission, as one project can generate and submit multiple datasets. ",,0,,,,,
STUDY,project_description,String,Required,Project Description:   Brief description of the goals and objectives of the project.,,0,,,,,
STUDY,ASAP_team_name,Enum,Required,"ASAP Team Name:   Name of the ASAP CRN Team. i.e. ""TEAM-LEE"",""TEAM-HAFLER"",""TEAM-HARDY"",etc.","[""TEAM-LEE"",""TEAM-HAFLER"",""TEAM-HARDY"", ""TEAM-JAKOBSSON"", ""TEAM-SCHERZER"", ""TEAM-SULZER"", ""TEAM-VOET"", ""TEAM-WOOD""]",0,,,,,
STUDY,ASAP_lab_name,String,Required,Lab Name. :   Lab name that is submitting dataset for the ASAP CRN Team.,,0,,,,,
STUDY,PI_full_name,String,Required,"Principal Investigator Name.:   Full name of the lab Principal Investigator. Format:  First name, Initial, Last name",,0,,,,,
STUDY,PI_email,String,Required,Principal Investigator E-mail.:   E-mail address of the Principle Investigator of the Lab submitting the data.,,0,,,,,
STUDY,contributor_names,String,Required,"Contributor(s).:   Names of all contributors to the dataset. Format:  First name, Initial, Last name ; First name, Initial, Last name ; ...",,0,,,,,
STUDY,submitter_name,String,Required,Data Submitter Name.:   Full name of individual submitting data.,,0,,,,,
STUDY,submitter_email,String,Required,Data Submitter E-Mail.:   Email address of individual submitting data.,,0,,,,,
STUDY,ASAP_grant_id,String,Required,ASAP Grant ID.:   ID of the ASAP grant funding the study.  e.g. ASAP-000xxx,,0,,,,,
STUDY,other_funding_source,String,Required,Other Funding.:   Details of other funding contributing to data generation.,,0,,,,,
STUDY,publication_DOI,String,Required,bioRxiv DOI.:   Digital Object Identifer for pre-print(s). NA if not available.,,0,,,,,
STUDY,publication_PMID,String,Required,PubMed ID.:   Unique identifier for journal articles/abstracts in PubMed. NA if not available.,,0,,,,,
STUDY,number_of_brain_samples,Integer,Required,Number of Brain Samples.:   Total number of brain tissue samples in the dataset.,,0,,,,,
STUDY,brain_regions,String,Required,Brain Regions.:   List of all anatomical origins of brain samples.  This should be as specific as possible for this field.,,0,,,,,
STUDY,types_of_samples,String,Required,"Sample Type. :   
Description of samples.  Currently, this is ONLY: late-stage PD and control postmortem brains",,0,,,,,
STUDY,PI_ORCHID,String,Optional,PI ORCID.:   Principle investigator ,,0,,,,,
STUDY,PI_google_scholar_id,String,Optional,PI Google Scholar ID.:   ,,0,,,,,
STUDY,DUA_version,String,Required,DUA Version. :   ASAP Access & Use Policy,,0,,,,,
STUDY,metadata_version_date,String,Optional,Metadata Version and Date.  :   Metadata Version and Date,,0,,,,,
SUBJECT,subject_id,String,Required,The Subject ID.  This will be a unique ID for the subject.  Please submit the subject ID used internally.  In the harmonized dataset this may be modified by the ASAP team to prevent naming collisions.  ,,1,,,,,
SUBJECT,source_subject_id,String,Required,Source Subject ID.:   Subject ID issued by providing brain bank.,,1,,path_brain_case_id_brain_bank,Free text,ID of the brain from which the sample is derived (this ID is provided by the brain bank),
SUBJECT,biobank_name,String,Required,Biobank Name.:   Name of the biobank from which the samples were sourced.,,0,,brain_bank_name,Dropdown,Location of the brain bank from which the sample is acquired,
