Table,Field,DisplayName,Description,DataType,Required,Validation,Shared_key
STUDY,ASAP_dataset_id,ASAP Dataset ID,Unique ID issued by ASAP CRN Cloud for each contributed Dataset.,String,Assigned,,1
STUDY,ASAP_team_id,ASAP Team ID,Unique ID issued by ASAP CRN Cloud for each contributing Team.,String,Assigned,,1
STUDY,ASAP_team_name,ASAP Team Name,"Name of the ASAP CRN Team. i.e. ""TEAM-LEE"",""TEAM-HAFLER"",""TEAM-HARDY"",etc.",Enum,Required,"[""TEAM-LEE"",""TEAM-HAFLER"",""TEAM-HARDY"", ""TEAM-JAKOBSSON"", ""TEAM-SCHERZER"", ""TEAM-SULZER"", ""TEAM-VOET"", ""TEAM-WOOD"",""TEAM-RIO"", ""TEAM-EDWARDS"",""TEAM-VILA"",""TEAM-KIRIK"",""TEAM-BIEDERER"",""TEAM-CRAGG"",""TEAM-SURMEIER""]",0
STUDY,ASAP_lab_name,Lab Name,Lab name that is submitting dataset for the ASAP CRN Team.,String,Required,,0
STUDY,project_name,Project Name,Title of the overall project.,String,Required,,0
STUDY,project_description,Project Description,Brief description of the goals and objectives of the project.,String,Required,,0
STUDY,dataset_title,Dataset Title,Title for this dataset.,String,Required,,0
STUDY,dataset_description,Dataset Description,Brief description specific to the dataset.,String,Required,,0
STUDY,dataset_name,Dataset Name,"A unique name is required for each data submission, as one project can generate and submit multiple datasets.  snakecase.",String,Required,,0
STUDY,PI_full_name,Principal Investigator Name,"Full name of the lab Principal Investigator. Format. First name, Initial, Last name",String,Required,,0
STUDY,PI_email,Principal Investigator E-mail,E-mail address of the Principle Investigator of the Lab submitting the data.,String,Required,,0
STUDY,contributor_names,Contributor Names,"Names of all contributors to the dataset. Format. First name, Initial, Last name ; First name, Initial, Last name ; ..",String,Required,,0
STUDY,submitter_name,Data Submitter Name,Full name of individual submitting data.,String,Required,,0
STUDY,submitter_email,Data Submitter E-Mail,Email address of individual submitting data.,String,Required,,0
STUDY,ASAP_grant_id,ASAP Grant ID,ID of the ASAP grant funding the study.  e.g. ASAP-000xxx,String,Required,,0
STUDY,other_funding_source,Other Funding Source,Details of other funding contributing to data generation.,String,Required,,0
STUDY,publication_DOI,bioRxiv DOI,Digital Object Identifer for pre-print(s). NA if not available.,String,Required,,0
STUDY,publication_PMID,PubMed ID,Unique identifier for journal articles/abstracts in PubMed. NA if not available.,String,Required,,0
STUDY,number_samples,Number of Samples,Total number of tissue samples in the dataset.,Integer,Required,,0
STUDY,sample_types,Sample Types,"Enumeration of samples in this collection. e.g. Brain Regions, a list of all anatomical origins of brain samples.  This should be as specific as possible for this field. comma separated.",String,Required,,0
STUDY,types_of_samples,Types of Samples,Description of samples.  e.g.late-stage PD and control postmortem brains,String,Required,,0
STUDY,metadata_tables,Metadata Tables,List of metadata tables for this dataset.,String,Required,,0
STUDY,DUA_version,DUA Version,ASAP Access & Use Policy,String,Optional,,0
STUDY,PI_ORCID,PI ORCID,Principle investigator ORCID.,String,Optional,,0
STUDY,PI_google_scholar_id,PI Google Scholar ID,Principle investigator Google Scholar reference.,String,Optional,,0
STUDY,preprocessing_references,Preprocessing References,Github repository link or similar code reference plus electronic lab notes detailing all data generation steps and quality control summaries.  Analysis scripts for additional processing will also create valuable context.,String,Optional,,0
STUDY,metadata_version_date,Metadata Version Date,Metadata Version and/or Date,String,Optional,,0
STUDY,alternate_dataset_id,Alternate dataset ID,Alternate identification reference for dataset.,String,Optional,,0
PROTOCOL,ASAP_dataset_id,ASAP Dataset ID,Unique ID issued by ASAP CRN Cloud for each contributed Dataset.,String,Assigned,,1
PROTOCOL,ASAP_team_id,ASAP Team ID,Unique ID issued by ASAP CRN Cloud for each contributing Team.,String,Assigned,,1
PROTOCOL,sample_collection_summary,Sample Collection Summary,Short summary detailing how samples were collected.,String,Required,,0
PROTOCOL,cell_extraction_summary,Cell Extraction Summary,Short summary detailing the protocols used for cell extraction.,String,Required,,0
PROTOCOL,lib_prep_summary,Library Preparation Summary,Short summary detailing how the library was prepared.,String,Required,,0
PROTOCOL,data_processing_summary,Data Processing Summary,Short summary of how data has been processed.,String,Required,,0
PROTOCOL,github_url,Github Repository Link,URL for lab github repo conatining the code and scripts for processing data in this dataset.,String,Required,,0
PROTOCOL,protocols_io_DOI,Protocols,io DOI.  Digital Object Identifier (DOI) for `protocols.io`.,String,Required,,0
PROTOCOL,other_reference,Other Reference,Link to technology/platform protocol(s) if not available in protocols.io,String,Optional,,0
SUBJECT,ASAP_dataset_id,ASAP Dataset ID,Unique ID issued by ASAP CRN Cloud.,String,Assigned,,1
SUBJECT,subject_id,The Subject ID,"This will be a unique ID for the subject.  The subject ID used by contributing team.  During Dataset Acceptance this may be modified by the ASAP team to prevent naming collisions, and to avoid spaces and ambiguity.",String,Required,,1
SUBJECT,source_subject_id,Source Subject ID,Subject ID issued by providing brain bank.,String,Required,,1
SUBJECT,biobank_name,Biobank Name,Name of the biobank from which the samples were sourced.,String,Required,,1
SUBJECT,sex,Sex,Genetically derived sex.,Enum,Required,"[""Male"", ""Female"",""Intersex"",""Unnown""]",1
